ProductID	Name	ProductNumber	Color	StandardCost	ListPrice	Size	ProductLine	Class	ProductModelID	ProductSubcategoryID
320	Chainring Bolts	CB-2903	Silver	.0000	.0000					
321	Chainring Nut	CN-6137	Silver	.0000	.0000					
332	Freewheel	FH-2981	Silver	.0000	.0000					
351	Front Derailleur Cage	FC-3982	Silver	.0000	.0000					
352	Front Derailleur Linkage	FL-2301	Silver	.0000	.0000					
461	Lock Ring	LR-2398	Silver	.0000	.0000					
679	Rear Derailleur Cage	RC-0291	Silver	.0000	.0000					
709	Mountain Bike Socks, M	SO-B909-M	White	3.3963	9.5000	M	M 		18	23
710	Mountain Bike Socks, L	SO-B909-L	White	3.3963	9.5000	L	M 		18	23
712	AWC Logo Cap	CA-1098	Multi	6.9223	8.9900		S 		2	19
713	Long-Sleeve Logo Jersey, S	LJ-0192-S	Multi	38.4923	49.9900	S	S 		11	21
714	Long-Sleeve Logo Jersey, M	LJ-0192-M	Multi	38.4923	49.9900	M	S 		11	21
715	Long-Sleeve Logo Jersey, L	LJ-0192-L	Multi	38.4923	49.9900	L	S 		11	21
716	Long-Sleeve Logo Jersey, XL	LJ-0192-X	Multi	38.4923	49.9900	XL	S 		11	21
739	HL Mountain Frame - Silver, 42	FR-M94S-42	Silver	747.2002	1364.5000	42	M 	H 	5	12
740	HL Mountain Frame - Silver, 44	FR-M94S-44	Silver	706.8110	1364.5000	44	M 	H 	5	12
741	HL Mountain Frame - Silver, 48	FR-M94S-52	Silver	706.8110	1364.5000	48	M 	H 	5	12
742	HL Mountain Frame - Silver, 46	FR-M94S-46	Silver	747.2002	1364.5000	46	M 	H 	5	12
748	HL Mountain Frame - Silver, 38	FR-M94S-38	Silver	747.2002	1364.5000	38	M 	H 	5	12
771	Mountain-100 Silver, 38	BK-M82S-38	Silver	1912.1544	3399.9900	38	M 	H 	19	1
772	Mountain-100 Silver, 42	BK-M82S-42	Silver	1912.1544	3399.9900	42	M 	H 	19	1
773	Mountain-100 Silver, 44	BK-M82S-44	Silver	1912.1544	3399.9900	44	M 	H 	19	1
774	Mountain-100 Silver, 48	BK-M82S-48	Silver	1912.1544	3399.9900	48	M 	H 	19	1
779	Mountain-200 Silver, 38	BK-M68S-38	Silver	1265.6195	2319.9900	38	M 	H 	20	1
780	Mountain-200 Silver, 42	BK-M68S-42	Silver	1265.6195	2319.9900	42	M 	H 	20	1
781	Mountain-200 Silver, 46	BK-M68S-46	Silver	1265.6195	2319.9900	46	M 	H 	20	1
797	Road-550-W Yellow, 38	BK-R64Y-38	Yellow	713.0798	1120.4900	38	R 	M 	29	2
798	Road-550-W Yellow, 40	BK-R64Y-40	Yellow	713.0798	1120.4900	40	R 	M 	29	2
799	Road-550-W Yellow, 42	BK-R64Y-42	Yellow	713.0798	1120.4900	42	R 	M 	29	2
800	Road-550-W Yellow, 44	BK-R64Y-44	Yellow	713.0798	1120.4900	44	R 	M 	29	2
801	Road-550-W Yellow, 48	BK-R64Y-48	Yellow	713.0798	1120.4900	48	R 	M 	29	2
822	ML Road Frame-W - Yellow, 38	FR-R72Y-38	Yellow	360.9428	594.8300	38	R 	M 	17	14
