ProductID	Name	ProductNumber	Color	StandardCost	ListPrice	Size	ProductLine	Class	ProductModelID	ProductSubcategoryID
706	HL Road Frame - Red, 58	FR-R92R-58	Red	1059.3100	1431.5000	58	R 	H 	6	14
707	Sport-100 Helmet, Red	HL-U509-R	Red	13.0863	34.9900		S 		33	31
717	HL Road Frame - Red, 62	FR-R92R-62	Red	868.6342	1431.5000	62	R 	H 	6	14
718	HL Road Frame - Red, 44	FR-R92R-44	Red	868.6342	1431.5000	44	R 	H 	6	14
719	HL Road Frame - Red, 48	FR-R92R-48	Red	868.6342	1431.5000	48	R 	H 	6	14
720	HL Road Frame - Red, 52	FR-R92R-52	Red	868.6342	1431.5000	52	R 	H 	6	14
721	HL Road Frame - Red, 56	FR-R92R-56	Red	868.6342	1431.5000	56	R 	H 	6	14
725	LL Road Frame - Red, 44	FR-R38R-44	Red	187.1571	337.2200	44	R 	L 	9	14
726	LL Road Frame - Red, 48	FR-R38R-48	Red	187.1571	337.2200	48	R 	L 	9	14
727	LL Road Frame - Red, 52	FR-R38R-52	Red	187.1571	337.2200	52	R 	L 	9	14
728	LL Road Frame - Red, 58	FR-R38R-58	Red	187.1571	337.2200	58	R 	L 	9	14
729	LL Road Frame - Red, 60	FR-R38R-60	Red	187.1571	337.2200	60	R 	L 	9	14
730	LL Road Frame - Red, 62	FR-R38R-62	Red	187.1571	337.2200	62	R 	L 	9	14
731	ML Road Frame - Red, 44	FR-R72R-44	Red	352.1394	594.8300	44	R 	M 	16	14
732	ML Road Frame - Red, 48	FR-R72R-48	Red	352.1394	594.8300	48	R 	M 	16	14
733	ML Road Frame - Red, 52	FR-R72R-52	Red	352.1394	594.8300	52	R 	M 	16	14
734	ML Road Frame - Red, 58	FR-R72R-58	Red	352.1394	594.8300	58	R 	M 	16	14
735	ML Road Frame - Red, 60	FR-R72R-60	Red	352.1394	594.8300	60	R 	M 	16	14
749	Road-150 Red, 62	BK-R93R-62	Red	2171.2942	3578.2700	62	R 	H 	25	2
750	Road-150 Red, 44	BK-R93R-44	Red	2171.2942	3578.2700	44	R 	H 	25	2
751	Road-150 Red, 48	BK-R93R-48	Red	2171.2942	3578.2700	48	R 	H 	25	2
752	Road-150 Red, 52	BK-R93R-52	Red	2171.2942	3578.2700	52	R 	H 	25	2
753	Road-150 Red, 56	BK-R93R-56	Red	2171.2942	3578.2700	56	R 	H 	25	2
754	Road-450 Red, 58	BK-R68R-58	Red	884.7083	1457.9900	58	R 	M 	28	2
755	Road-450 Red, 60	BK-R68R-60	Red	884.7083	1457.9900	60	R 	M 	28	2
756	Road-450 Red, 44	BK-R68R-44	Red	884.7083	1457.9900	44	R 	M 	28	2
757	Road-450 Red, 48	BK-R68R-48	Red	884.7083	1457.9900	48	R 	M 	28	2
758	Road-450 Red, 52	BK-R68R-52	Red	884.7083	1457.9900	52	R 	M 	28	2
759	Road-650 Red, 58	BK-R50R-58	Red	486.7066	782.9900	58	R 	L 	30	2
760	Road-650 Red, 60	BK-R50R-60	Red	486.7066	782.9900	60	R 	L 	30	2
761	Road-650 Red, 62	BK-R50R-62	Red	486.7066	782.9900	62	R 	L 	30	2
762	Road-650 Red, 44	BK-R50R-44	Red	486.7066	782.9900	44	R 	L 	30	2
763	Road-650 Red, 48	BK-R50R-48	Red	486.7066	782.9900	48	R 	L 	30	2
764	Road-650 Red, 52	BK-R50R-52	Red	486.7066	782.9900	52	R 	L 	30	2
789	Road-250 Red, 44	BK-R89R-44	Red	1518.7864	2443.3500	44	R 	H 	26	2
790	Road-250 Red, 48	BK-R89R-48	Red	1518.7864	2443.3500	48	R 	H 	26	2
791	Road-250 Red, 52	BK-R89R-52	Red	1518.7864	2443.3500	52	R 	H 	26	2
792	Road-250 Red, 58	BK-R89R-58	Red	1554.9479	2443.3500	58	R 	H 	26	2
